competition_id;competition_name;season;season_label;fixture_id;date;round;team_id;team_name;home_away;opponent_id;opponent_name;opponent_logo;goals_for;goals_against;score;result;recency_order
61;Ligue 1;2022;2022-2023;871822;2023-05-21T15:05:00+00:00;Regular Season - 36;97;Lorient;home;116;Lens;https://media.api-sports.io/football/teams/116.png;1;3;1-3;D;3
61;Ligue 1;2022;2022-2023;871812;2023-05-14T13:00:00+00:00;Regular Season - 35;97;Lorient;away;82;Montpellier;https://media.api-sports.io/football/teams/82.png;1;1;1-1;N;4
61;Ligue 1;2022;2022-2023;871803;2023-05-07T13:00:00+00:00;Regular Season - 34;97;Lorient;home;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;2;1;2-1;V;5
61;Ligue 1;2022;2022-2023;871840;2023-06-03T19:00:00+00:00;Regular Season - 38;98;Ajaccio;home;81;Marseille;https://media.api-sports.io/football/teams/81.png;1;0;1-0;V;1
61;Ligue 1;2022;2022-2023;871836;2023-05-27T19:00:00+00:00;Regular Season - 37;98;Ajaccio;away;116;Lens;https://media.api-sports.io/football/teams/116.png;0;3;0-3;D;2
61;Ligue 1;2022;2022-2023;871820;2023-05-21T11:00:00+00:00;Regular Season - 36;98;Ajaccio;home;94;Rennes;https://media.api-sports.io/football/teams/94.png;0;5;0-5;D;3
61;Ligue 1;2022;2022-2023;871814;2023-05-13T19:00:00+00:00;Regular Season - 35;98;Ajaccio;away;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;0;5;0-5;D;4
61;Ligue 1;2022;2022-2023;871800;2023-05-07T13:00:00+00:00;Regular Season - 34;98;Ajaccio;home;96;Toulouse;https://media.api-sports.io/football/teams/96.png;0;0;0-0;N;5
61;Ligue 1;2022;2022-2023;871846;2023-06-03T19:00:00+00:00;Regular Season - 38;99;Clermont Foot;away;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;3;2;3-2;V;1
61;Ligue 1;2022;2022-2023;871831;2023-05-27T19:00:00+00:00;Regular Season - 37;99;Clermont Foot;home;97;Lorient;https://media.api-sports.io/football/teams/97.png;2;0;2-0;V;2
61;Ligue 1;2022;2022-2023;871827;2023-05-21T13:00:00+00:00;Regular Season - 36;99;Clermont Foot;away;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;1;2;1-2;D;3
61;Ligue 1;2022;2022-2023;871811;2023-05-14T11:00:00+00:00;Regular Season - 35;99;Clermont Foot;home;80;Lyon;https://media.api-sports.io/football/teams/80.png;2;1;2-1;V;4
61;Ligue 1;2022;2022-2023;871801;2023-05-07T13:00:00+00:00;Regular Season - 34;99;Clermont Foot;away;108;Auxerre;https://media.api-sports.io/football/teams/108.png;1;1;1-1;N;5
61;Ligue 1;2022;2022-2023;871847;2023-06-03T19:00:00+00:00;Regular Season - 38;106;Stade Brestois 29;home;94;Rennes;https://media.api-sports.io/football/teams/94.png;1;2;1-2;D;1
61;Ligue 1;2022;2022-2023;871835;2023-05-27T19:00:00+00:00;Regular Season - 37;106;Stade Brestois 29;away;81;Marseille;https://media.api-sports.io/football/teams/81.png;2;1;2-1;V;2
61;Ligue 1;2022;2022-2023;871827;2023-05-21T13:00:00+00:00;Regular Season - 36;106;Stade Brestois 29;home;99;Clermont Foot;https://media.api-sports.io/football/teams/99.png;2;1;2-1;V;3
61;Ligue 1;2022;2022-2023;871817;2023-05-14T13:00:00+00:00;Regular Season - 35;106;Stade Brestois 29;home;108;Auxerre;https://media.api-sports.io/football/teams/108.png;1;0;1-0;V;4
61;Ligue 1;2022;2022-2023;871803;2023-05-07T13:00:00+00:00;Regular Season - 34;106;Stade Brestois 29;away;97;Lorient;https://media.api-sports.io/football/teams/97.png;1;2;1-2;D;5
61;Ligue 1;2022;2022-2023;871841;2023-06-03T19:00:00+00:00;Regular Season - 38;108;Auxerre;home;116;Lens;https://media.api-sports.io/football/teams/116.png;1;3;1-3;D;1
61;Ligue 1;2022;2022-2023;871839;2023-05-27T19:00:00+00:00;Regular Season - 37;108;Auxerre;away;96;Toulouse;https://media.api-sports.io/football/teams/96.png;1;1;1-1;N;2
61;Ligue 1;2022;2022-2023;871821;2023-05-21T18:45:00+00:00;Regular Season - 36;108;Auxerre;home;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1;2;1-2;D;3
61;Ligue 1;2022;2022-2023;871817;2023-05-14T13:00:00+00:00;Regular Season - 35;108;Auxerre;away;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;0;1;0-1;D;4
61;Ligue 1;2022;2022-2023;871801;2023-05-07T13:00:00+00:00;Regular Season - 34;108;Auxerre;home;99;Clermont Foot;https://media.api-sports.io/football/teams/99.png;1;1;1-1;N;5
61;Ligue 1;2022;2022-2023;871849;2023-06-03T19:00:00+00:00;Regular Season - 38;110;Estac Troyes;home;79;Lille;https://media.api-sports.io/football/teams/79.png;1;1;1-1;N;1
