player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label
47530;Sergio Akieme;93;Reims;Reims;Defender;2721.0;high;True;False;61.6;68.6;68.4;58.3;56.0;49.7;56.7;73.4;63.4;-1.8;61.5;71.5;8.9;En hausse;Élevée;5.0;31.3;1.3;Stable
3234;A. Bamba;77;Angers;Angers;Defender;1520.0;high;True;False;49.7;55.5;51.2;61.6;63.4;54.3;59.2;69.4;63.3;-2.0;61.3;66.8;;Non disponible;Faible;2.0;50.3;4.0;En hausse
128287;J. Chotard;82;Montpellier;Montpellier;Midfielder;1871.0;high;True;False;58.0;53.5;51.8;59.6;68.9;56.7;57.8;69.7;62.6;-1.9;60.6;63.5;-3.4;En baisse;Élevée;5.0;25.0;-2.7;Stable
174708;Y. Belkhdim;77;Angers;Angers;Midfielder;1525.0;high;True;False;69.9;53.0;56.8;45.4;77.1;59.7;59.1;66.8;62.2;-2.0;60.2;65.8;-0.2;Stable;Moyenne;4.0;50.3;4.0;En hausse
93671;Pedro Chirivella;83;Nantes;Nantes;Midfielder;2363.0;high;True;False;48.7;52.8;60.7;53.1;58.8;52.7;54.9;72.3;61.9;-2.1;59.8;77.8;1.7;Stable;Élevée;5.0;53.1;10.7;En hausse
389322;N. Sangui;93;Reims;Reims;Defender;1174.0;medium;True;False;51.2;59.2;67.3;70.9;58.5;53.2;58.3;65.7;61.3;-2.1;59.2;67.6;-3.4;En baisse;Moyenne;3.0;31.3;1.3;Stable
126757;L. Brassier;94;Rennes;Rennes / Marseille / Stade Brestois 29;Defender;2015.0;high;True;False;56.4;88.1;40.1;47.0;54.5;52.3;57.6;63.5;60.0;-1.9;58.0;66.5;-6.1;En baisse;Élevée;5.0;42.7;4.0;En hausse
162443;É. Youté;111;Le Havre;Le Havre;Defender;2327.0;high;True;False;46.0;37.6;38.2;57.3;61.3;52.5;54.4;67.9;59.8;-2.0;57.8;61.1;-7.7;En baisse;Élevée;5.0;57.1;1.3;Stable
20558;H. Magnetti;106;Stade Brestois 29;Stade Brestois 29;Midfielder;2335.0;high;True;False;62.4;46.0;47.7;55.5;61.7;55.6;53.8;68.6;59.7;-2.1;57.6;64.1;5.0;En hausse;Élevée;5.0;48.8;4.0;En hausse
3336;F. Sacko;82;Montpellier;Montpellier;Defender;1235.0;medium;True;False;54.7;60.9;59.5;49.6;60.1;47.5;55.9;63.1;58.8;-2.1;56.7;68.2;;Non disponible;Faible;1.0;25.0;-2.7;Stable
