team_id;team_name;fixture_id;date;round;home_away;opponent_id;opponent_name;opponent_logo;goals_for;goals_against;score;result;recency_order
111;Le Havre;1214049;2025-05-17T19:00:00+00:00;Regular Season - 34;away;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;3;2;3-2;V;1
111;Le Havre;1214038;2025-05-10T19:00:00+00:00;Regular Season - 33;home;81;Marseille;https://media.api-sports.io/football/teams/81.png;1;3;1-3;D;2
111;Le Havre;1214034;2025-05-04T15:15:00+00:00;Regular Season - 32;away;108;Auxerre;https://media.api-sports.io/football/teams/108.png;2;1;2-1;V;3
111;Le Havre;1214017;2025-04-26T17:00:00+00:00;Regular Season - 31;home;91;Monaco;https://media.api-sports.io/football/teams/91.png;1;1;1-1;N;4
111;Le Havre;1214012;2025-04-19T15:00:00+00:00;Regular Season - 30;away;85;Paris Saint Germain;https://media.api-sports.io/football/teams/85.png;1;2;1-2;D;5
112;Metz;1375858;2025-05-21T18:00:00+00:00;Relegation Round;home;93;Reims;https://media.api-sports.io/football/teams/93.png;1;1;1-1;N;1
116;Lens;1214051;2025-05-17T19:00:00+00:00;Regular Season - 34;home;91;Monaco;https://media.api-sports.io/football/teams/91.png;4;0;4-0;V;1
116;Lens;1214041;2025-05-10T19:00:00+00:00;Regular Season - 33;away;96;Toulouse;https://media.api-sports.io/football/teams/96.png;1;1;1-1;N;2
116;Lens;1214026;2025-05-04T15:15:00+00:00;Regular Season - 32;away;80;Lyon;https://media.api-sports.io/football/teams/80.png;2;1;2-1;V;3
116;Lens;1214021;2025-04-27T15:15:00+00:00;Regular Season - 31;home;108;Auxerre;https://media.api-sports.io/football/teams/108.png;0;4;0-4;D;4
116;Lens;1214010;2025-04-20T15:15:00+00:00;Regular Season - 30;away;106;Stade Brestois 29;https://media.api-sports.io/football/teams/106.png;3;1;3-1;V;5
1063;Saint Etienne;1214047;2025-05-17T19:00:00+00:00;Regular Season - 34;home;96;Toulouse;https://media.api-sports.io/football/teams/96.png;2;3;2-3;D;1
1063;Saint Etienne;1214035;2025-05-10T19:00:00+00:00;Regular Season - 33;away;93;Reims;https://media.api-sports.io/football/teams/93.png;2;0;2-0;V;2
1063;Saint Etienne;1214030;2025-05-03T19:05:00+00:00;Regular Season - 32;home;91;Monaco;https://media.api-sports.io/football/teams/91.png;1;3;1-3;D;3
1063;Saint Etienne;1214018;2025-04-26T15:00:00+00:00;Regular Season - 31;away;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;1;3;1-3;D;4
1063;Saint Etienne;1214008;2025-04-20T18:45:00+00:00;Regular Season - 30;home;80;Lyon;https://media.api-sports.io/football/teams/80.png;2;1;2-1;V;5
