player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
22264;L. Ajorque;106;Stade Brestois 29;Stade Brestois 29;Attacker;2504.0;high;True;False;86.7;78.7;68.8;60.3;57.2;70.7;75.4;78.3;76.6;1.6;78.2;70.9;0.2;Stable;Élevée;5.0;48.8;4.0;En hausse;61;Ligue 1;2024;2024-2025
162465;M. Bard;84;Nice;Nice;Defender;1941.0;high;True;False;68.0;66.3;68.9;69.7;81.1;76.6;76.4;76.6;76.5;1.6;78.1;76.7;-8.4;En baisse;Élevée;5.0;68.3;-12.0;En baisse;61;Ligue 1;2024;2024-2025
47480;M. Salisu;91;Monaco;Monaco;Defender;1035.0;medium;True;False;73.5;83.0;53.0;64.2;79.9;75.8;77.1;75.4;76.4;1.6;78.0;;;;;;54.2;-1.3;Stable;61;Ligue 1;2024;2024-2025
191392;P. Joly;108;Auxerre;Auxerre;Defender;1024.0;medium;True;False;62.8;79.2;74.8;59.8;84.7;87.2;82.1;67.9;76.4;1.6;78.0;60.0;-4.2;En baisse;Élevée;5.0;36.7;-4.0;En baisse;61;Ligue 1;2024;2024-2025
24743;Z. Davitashvili;1063;Saint Etienne;Saint Etienne;Attacker;2761.0;high;True;False;84.7;86.8;86.3;67.6;48.2;52.5;76.0;76.8;76.4;1.5;77.9;74.9;-7.9;En baisse;Élevée;5.0;43.0;4.0;En hausse;61;Ligue 1;2024;2024-2025
21153;B. Santamaría;84;Nice;Nice / Rennes;Midfielder;1411.0;high;True;False;54.5;74.6;70.0;83.6;85.2;89.4;77.4;74.8;76.4;1.5;77.9;64.6;1.0;Stable;Moyenne;3.0;68.3;-12.0;En baisse;61;Ligue 1;2024;2024-2025
49583;A. Abdi;84;Nice;Nice;Defender;1417.0;high;True;False;78.0;77.1;74.7;64.4;79.8;73.2;76.2;76.5;76.3;1.4;77.8;70.6;-4.1;En baisse;Élevée;5.0;68.3;-12.0;En baisse;61;Ligue 1;2024;2024-2025
30531;J. Boga;84;Nice;Nice;Attacker;1065.0;medium;True;False;80.3;87.8;84.6;73.3;52.9;66.8;77.7;74.4;76.3;1.5;77.8;69.7;-0.7;Stable;Faible;2.0;68.3;-12.0;En baisse;61;Ligue 1;2024;2024-2025
1467;A. Lacazette;80;Lyon;Lyon;Attacker;2061.0;high;True;False;93.1;75.1;72.7;69.3;48.0;50.8;76.3;76.4;76.3;1.4;77.7;80.8;8.4;En hausse;Moyenne;4.0;51.3;4.0;En hausse;61;Ligue 1;2024;2024-2025
85914;J. Le Cardinal;106;Stade Brestois 29;Stade Brestois 29 / Lens;Defender;1378.0;high;True;False;59.0;78.3;58.9;70.5;78.9;74.2;76.1;76.6;76.3;1.4;77.7;66.5;;Non disponible;Faible;2.0;48.8;4.0;En hausse;61;Ligue 1;2024;2024-2025
156465;I. Soumaré;111;Le Havre;Le Havre / Auxerre;Attacker;1904.0;high;True;False;78.5;79.5;80.4;61.2;66.7;82.3;76.5;75.7;76.2;1.4;77.6;70.9;-5.8;En baisse;Élevée;5.0;57.1;1.3;Stable;61;Ligue 1;2024;2024-2025
37236;A. Matusiwa;94;Rennes;Rennes;Midfielder;2078.0;high;True;False;56.7;66.1;71.5;82.0;83.5;85.6;74.9;78.1;76.2;1.3;77.5;67.1;7.2;En hausse;Élevée;5.0;42.7;4.0;En hausse;61;Ligue 1;2024;2024-2025
23637;Y. Zouaoui;111;Le Havre;Le Havre;Defender;982.0;medium;True;False;60.8;90.3;83.7;83.5;66.3;77.7;74.6;78.5;76.2;1.3;77.5;69.4;0.0;Stable;Faible;2.0;57.1;1.3;Stable;61;Ligue 1;2024;2024-2025
529;N. Tagliafico;80;Lyon;Lyon;Defender;1911.0;high;True;False;73.7;67.2;54.5;55.2;80.5;74.0;74.0;79.3;76.1;1.3;77.4;72.4;1.6;Stable;Moyenne;4.0;51.3;4.0;En hausse;61;Ligue 1;2024;2024-2025
