player_id;player_name;team_id;team_name;clubs_in_season;position;minutes;reliability;official_rating;provisional_rating;shooting;passing;creation;technique;defensive_contribution;physical_impact;profile_score;performance_score;overall_precalibrated;calibration_adjustment;overall;form;form_trend;form_label;form_reliability;matches_in_form;club_form;club_form_trend;club_form_label;competition_id;competition_name;season;season_label
19354;E. Konsa;66;Aston Villa;Aston Villa;Defender;2937.0;high;True;False;66.3;59.0;45.7;65.4;60.7;74.4;64.2;74.3;68.2;-0.6;67.6;;;Non disponible;Non disponible;;59.9;-4.0;En baisse;39;Premier League;2024;2024-2025
2869;E. Álvarez;48;West Ham;West Ham;Midfielder;1783.0;high;True;False;47.6;62.0;64.9;68.8;77.0;71.8;66.3;70.7;68.1;-0.6;67.5;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
15884;J. Lindstrøm;45;Everton;Everton;Midfielder;1241.0;medium;True;False;65.5;77.9;71.1;54.1;75.4;59.0;67.9;68.4;68.1;-0.6;67.5;;;Non disponible;Non disponible;;76.0;13.3;En hausse;39;Premier League;2024;2024-2025
19959;B. White;42;Arsenal;Arsenal;Defender;1213.0;medium;True;False;58.5;66.7;68.6;51.7;68.9;53.4;62.9;75.4;67.9;-0.6;67.3;;;Non disponible;Non disponible;;65.8;15.0;En hausse;39;Premier League;2024;2024-2025
138;J. Todibo;48;West Ham;West Ham;Defender;1855.0;high;True;False;43.2;38.8;46.3;65.6;77.5;66.8;66.9;68.8;67.7;-0.6;67.1;;;Non disponible;Non disponible;;58.4;1.3;Stable;39;Premier League;2024;2024-2025
17579;S. Szmodics;57;Ipswich;Ipswich;Attacker;1001.0;medium;True;False;84.1;57.5;57.7;59.7;59.7;50.7;67.3;68.1;67.6;-0.6;67.0;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
284230;R. Lewis;50;Manchester City;Manchester City;Defender;1897.0;high;True;False;56.7;51.7;62.2;64.0;62.9;69.7;63.2;74.0;67.5;-0.6;66.9;;;Non disponible;Non disponible;;77.5;5.3;En hausse;39;Premier League;2024;2024-2025
126949;C. Richards;52;Crystal Palace;Crystal Palace;Defender;1925.0;high;True;False;70.1;37.8;41.4;44.5;74.7;67.3;64.1;72.7;67.5;-0.7;66.8;;;Non disponible;Non disponible;;62.8;2.7;Stable;39;Premier League;2024;2024-2025
199837;K. Sulemana;41;Southampton;Southampton;Attacker;1405.0;high;True;False;70.3;63.2;69.7;67.2;64.0;60.7;67.4;67.6;67.5;-0.7;66.8;;;Non disponible;Non disponible;;25.0;-2.7;Stable;39;Premier League;2024;2024-2025
70100;J. Zirkzee;33;Manchester United;Manchester United;Attacker;1406.0;high;True;False;79.2;67.6;67.5;56.4;56.8;52.9;67.6;67.3;67.5;-0.7;66.7;;;Non disponible;Non disponible;;43.8;9.3;En hausse;39;Premier League;2024;2024-2025
